Time,open,high,low,close,volume
2011-02-14 00:00,1.35084,1.37152,1.3429,1.36943,974968.70370923
2011-02-21 00:00,1.37009,1.3839,1.3528,1.37543,949420.952550665
2011-02-28 00:00,1.37587,1.40072,1.37121,1.39879,878039.241586462
2011-03-07 00:00,1.39945,1.40364,1.37529,1.39036,935533.291050747
2011-03-14 00:00,1.39645,1.4186,1.38561,1.41856,1097741.75143576
2011-03-21 00:00,1.41947,1.42489,1.40541,1.40891,864115.549358003
2011-03-28 00:00,1.40421,1.42458,1.40222,1.42376,858900.737869613
2011-04-04 00:00,1.4229,1.44891,1.41523,1.44837,852566.427337199
2011-04-11 00:00,1.44715,1.45202,1.43658,1.44321,922592.815436073
2011-04-18 00:00,1.44096,1.46491,1.41617,1.45656,863222.115811437
2011-04-25 00:00,1.45598,1.48803,1.44943,1.48087,833106.077656642
2011-05-02 00:00,1.48144,1.49405,1.43148,1.43158,1105871.10839093
2011-05-09 00:00,1.43569,1.44415,1.40677,1.41201,1393222.80690551
2011-05-16 00:00,1.40906,1.4346,1.4049,1.41597,1212964.84836932
2011-05-23 00:00,1.41253,1.43242,1.39701,1.43182,1220937.25748616
2011-05-30 00:00,1.43248,1.46432,1.42575,1.46374,991150.737699561
2011-06-06 00:00,1.46094,1.4697,1.43231,1.43481,1088570.09829769
2011-06-13 00:00,1.43275,1.44981,1.4074,1.43072,1206917.41853989
2011-06-20 00:00,1.42773,1.44421,1.41277,1.41892,1092310.98074643
2011-06-27 00:00,1.41946,1.45512,1.41033,1.45285,1071968.57189146
2011-07-04 00:00,1.45351,1.45788,1.4215,1.42655,976475.43309246
2011-07-11 00:00,1.42093,1.42813,1.38377,1.41568,1429636.86453954
2011-07-18 00:00,1.41088,1.44406,1.40148,1.43596,1281094.81551246
2011-07-25 00:00,1.43852,1.45363,1.42307,1.43968,1253731.97631758
2011-08-01 00:00,1.43857,1.44534,1.40565,1.42812,1560690.38619079
2011-08-08 00:00,1.44172,1.44298,1.41048,1.42495,1731054.42658573
2011-08-15 00:00,1.42696,1.45168,1.42534,1.43966,1368182.88568494
2011-08-22 00:00,1.43775,1.45021,1.43286,1.45004,1094795.36262912
2011-08-29 00:00,1.44991,1.45492,1.41848,1.42084,972359.811807044
2011-09-05 00:00,1.41599,1.42354,1.36293,1.36579,1132711.12122808
2011-09-12 00:00,1.35857,1.39326,1.35043,1.38,1371886.19169012
2011-09-19 00:00,1.36925,1.37876,1.33876,1.35032,1423866.95214935
2011-09-26 00:00,1.35195,1.36889,1.3366,1.33901,1442123.89194786
2011-10-03 00:00,1.33447,1.3525,1.31489,1.33807,1446530.55263067
2011-10-10 00:00,1.33916,1.38946,1.33786,1.38818,1288237.06342359
2011-10-17 00:00,1.3869,1.39146,1.36536,1.38953,1385379.01409654
2011-10-24 00:00,1.38429,1.42473,1.38004,1.41499,1307160.55312546
2011-10-31 00:00,1.41446,1.417,1.36095,1.37929,1454078.0629657
2011-11-07 00:00,1.38274,1.38582,1.34846,1.3752,1299875.32455309
2011-11-14 00:00,1.38077,1.38101,1.34222,1.35264,1312418.71579091
2011-11-21 00:00,1.35111,1.35679,1.32137,1.32374,1145465.64623763
2011-11-28 00:00,1.33222,1.3537,1.32597,1.33934,1158940.1170767
2011-12-05 00:00,1.34245,1.34864,1.32818,1.33875,1057037.80669218
2011-12-12 00:00,1.33809,1.33827,1.29487,1.30453,1199526.46857541
2011-12-19 00:00,1.30407,1.31898,1.29836,1.30485,1131361.52952456
2011-12-26 00:00,1.30424,1.30839,1.2859,1.29618,870482.977569222
2012-01-02 00:00,1.2939,1.30767,1.26986,1.27198,1174718.06486531
2012-01-09 00:00,1.26928,1.28786,1.26299,1.26805,1490133.66159768
2012-01-16 00:00,1.26355,1.2986,1.2627,1.29325,1331260.60694198
2012-01-23 00:00,1.28772,1.32319,1.28772,1.32168,1246649.33600996
2012-01-30 00:00,1.32269,1.32275,1.30266,1.31596,1418556.80484167
2012-02-06 00:00,1.3114,1.33202,1.30284,1.3198,1294785.05697419
2012-02-13 00:00,1.32059,1.32834,1.29761,1.31445,1271013.17778842
2012-02-20 00:00,1.31819,1.34869,1.31748,1.34486,1112048.41443086
2012-02-27 00:00,1.3463,1.34863,1.31875,1.32024,1252347.13590395
2012-03-05 00:00,1.31911,1.3292,1.30968,1.31245,1137338.43632596
2012-03-12 00:00,1.31033,1.31912,1.30046,1.31765,1057341.75525906
2012-03-19 00:00,1.31753,1.32926,1.3136,1.32713,1000192.93534331
2012-03-26 00:00,1.32709,1.33853,1.31926,1.33433,1033407.85616466
2012-04-02 00:00,1.33602,1.3381,1.30361,1.30974,902364.625890329
2012-04-09 00:00,1.31025,1.3213,1.30347,1.30789,981116.596232958
2012-04-16 00:00,1.30649,1.32284,1.29967,1.32219,1124315.62704182
2012-04-23 00:00,1.31838,1.32707,1.3105,1.32552,1048012.0663482
2012-04-30 00:00,1.32357,1.32839,1.30809,1.30852,898545.135289602
2012-05-07 00:00,1.30128,1.30663,1.29056,1.29185,1218795.95685405
2012-05-14 00:00,1.29018,1.29053,1.26426,1.27833,1296790.09738345
2012-05-21 00:00,1.27638,1.28246,1.24991,1.2519,1355713.91266031
2012-05-28 00:00,1.25758,1.2625,1.2292,1.24343,1266353.28552952
2012-06-04 00:00,1.2416,1.26262,1.23866,1.25174,1229747.80133867
2012-06-11 00:00,1.26426,1.26695,1.24433,1.2644,1262100.53314765
2012-06-18 00:00,1.26958,1.27487,1.25201,1.25722,1269231.3667995
2012-06-25 00:00,1.25467,1.26935,1.24079,1.26634,1162016.23475096
2012-07-02 00:00,1.26771,1.26805,1.22608,1.22908,1017224.55447771
2012-07-09 00:00,1.22635,1.23346,1.21629,1.22503,1048449.88432997
2012-07-16 00:00,1.22667,1.23218,1.21451,1.216,1060975.24567877
2012-07-23 00:00,1.21202,1.23905,1.20425,1.2321,1211781.53283059
2012-07-30 00:00,1.2296,1.2393,1.21347,1.23902,1015671.09110367
2012-08-06 00:00,1.23963,1.24438,1.22422,1.22901,923874.140210561
2012-08-13 00:00,1.22904,1.2386,1.2257,1.23358,785449.529859804
2012-08-20 00:00,1.2353,1.25895,1.22959,1.25132,900001.300498724
2012-08-27 00:00,1.2512,1.26385,1.24661,1.25782,802749.430639699
2012-09-03 00:00,1.25693,1.28184,1.25024,1.28174,879577.811172262
2012-09-10 00:00,1.28085,1.31677,1.27558,1.31309,956946.941377535
2012-09-17 00:00,1.31185,1.31703,1.29215,1.29798,935174.231117733
2012-09-24 00:00,1.2976,1.29884,1.28316,1.28598,833249.071048133
2012-10-01 00:00,1.28468,1.30721,1.28044,1.3035,884662.831288129
2012-10-08 00:00,1.30248,1.3028,1.28267,1.29539,821683.421212964
2012-10-15 00:00,1.29535,1.31392,1.28913,1.3023,838895.241354004
2012-10-22 00:00,1.30196,1.3084,1.28839,1.29412,848543.921106167
2012-10-29 00:00,1.29404,1.30208,1.2822,1.28355,752298.431118198
2012-11-05 00:00,1.28189,1.2877,1.26904,1.27114,943722.89177566
2012-11-12 00:00,1.27115,1.28026,1.2662,1.27447,844703.771558702
2012-11-19 00:00,1.27486,1.29917,1.2737,1.29759,694301.91099713
2012-11-26 00:00,1.29674,1.3028,1.28807,1.29869,737132.030763961
2012-12-03 00:00,1.29827,1.31274,1.288,1.29286,769932.501260705
2012-12-10 00:00,1.28893,1.31731,1.28865,1.31635,708457.131536067
2012-12-17 00:00,1.31662,1.33088,1.31447,1.31886,769261.062247366
2012-12-24 00:00,1.31737,1.32841,1.31665,1.32178,446672.910991423
2012-12-31 00:00,1.32143,1.33003,1.29982,1.30693,645582.461306341
2013-01-07 00:00,1.30767,1.33659,1.30172,1.33433,871216.502319224
2013-01-14 00:00,1.33619,1.34044,1.32572,1.33192,850254.79207328
2013-01-21 00:00,1.33114,1.348,1.32659,1.34601,790928.582473308
2013-01-28 00:00,1.34665,1.37112,1.34147,1.36413,879710.822668172
2013-02-04 00:00,1.36543,1.3659,1.3354,1.33665,927342.472829647
2013-02-11 00:00,1.33687,1.352,1.33068,1.3363,738635.362288222
2013-02-18 00:00,1.33507,1.34348,1.31456,1.31919,757951.882599257
2013-02-25 00:00,1.32166,1.33175,1.29672,1.30198,1063001.6313751
2013-03-04 00:00,1.30141,1.31347,1.29556,1.3006,795844.132034048
2013-03-11 00:00,1.29887,1.31062,1.29117,1.30755,865014.79250849
2013-03-18 00:00,1.29087,1.30077,1.28469,1.29886,1266935.42413786
2013-03-25 00:00,1.29478,1.30481,1.27542,1.28194,1088202.3841664
2013-04-01 00:00,1.28079,1.30393,1.27473,1.29947,1053392.73535345
2013-04-08 00:00,1.29736,1.31389,1.29688,1.31117,1123201.47450268
